O95848 P28331
Q8IUQ4 P17152
Q8WUP2 Q9UKI8
Q06730 O75140
P35564 Q00341
Q6QI68 Q13363
P35998 Q8NAP3
Q63ZY3 Q14494
P40429 P04844
O95373 Q8BP92
O75037 Q9UKN8
P04843 P37840
O43581 P99999
O14520 Q86XK2
Q9BQB6 P14618
Q12788 O14520
O00767 P31323
P17600 Q8NEU8
P10632 Q8NI27
Q9Y2P0 Q16623
P82933 Q9UN86
Q8IVF4 O15160
O00560 Q9GZT6
O14647 Q96JN2
P07814 Q09666
Q9NT68 Q8NDI1
Q96QB1 O43181
Q07266 Q92522
P50502 Q9H2X8
Q9QUN7 Q53GQ0
Q9P246 O60281
O75688 P30876
P07996 O00571
Q15084 Q8TD31
O75143 Q9Y4Y9
Q96KQ4 Q8BHN3
Q9NR11 Q9NR31
Q99584 P59923
P14211 Q15788
Q9UII2 O00750
O75581 O60231
P28330 Q13574
O95714 P07996
Q5JTJ3 Q5VT25
Q9Y618 O75382
Q92597 P51649
P78318 Q6Y2X3
Q9H583 Q03157
P04350 Q6PD62
Q6NTF9 Q9H7U1
Q96EE3 O95292
Q8TDM6 O00237
P61764 O94776
Q8NFA0 P10909
Q58WW2 Q9UPR0
Q86WG5 Q8WXA3
P56817 P10828
P08237 Q15303
Q9GZT6 Q15459
Q96CT7 O75150
Q9Y383 Q96EK5
Q9NQW7 P17021
P29066 Q9UBS4
P61979 P55809
Q96RF0 Q8NFA0
P61353 Q60932
Q7KZI7 Q8IYB3
Q6ZTA4 Q92522
Q03265 Q15042
P14314 P52740
Q9CR62 P35659
P21397 Q9NP73
Q9UQN3 Q92667
Q2KHR2 P10632
Q5BJF2 O14782
Q99698 Q13620
Q9C026 P57088
Q86YM7 Q9BQ70
Q9NT68 Q7L099
Q9ULD5 Q9NPH2
Q15910 Q9NRH3
Q8WUP2 P26599
O95782 Q01081
P62937 Q91VR2
Q86VP6 Q99714
Q9NZN5 Q9BUP0
Q9NZM3 Q8WX92
O95198 O43172
Q99757 Q14166
Q9BZJ0 O95196
Q9CR62 Q9Y266
Q13614 P21912
Q8IY18 Q9D1Q6
P46460 Q8BH59
P25325 Q15651
Q15059 Q01484
Q86Y82 Q6AHZ1
O15126 Q9BRP8
P10649 Q12788
P48167 P56385
P23193 Q9BXC9
Q96PY5 P21359
Q15910 Q9CWF2
Q9Y6N7 P47756
Q5U623 O43488
Q8WTR7 P48774
O43488 Q01081
P38159 P04925
Q9NWB6 Q15818
Q9Y2I1 P84243
Q9UHD9 Q03265
P50749 Q80W04
Q9Y2A7 Q8VEM8
Q9HCD5 Q5SW79
O75688 Q9UNL4
P60866 Q9UM00
O95232 O00767
Q92878 Q5VT25
Q9Y468 Q9EPK2
P61421 O15243
P37840 P43307
P41250 P16401
O75822 Q9UM00
P14625 Q15029
Q9WV92 P31942
P51114 O15235
Q9H0M0 Q9Y3D2
Q8TBB1 Q5JTJ3
Q9Y285 O94776
Q8NFZ0 Q9NV70
Q9Y618 Q676U5
P43155 P68369
Q92664 Q9BV35
Q9Y4E5 O75385
P53804 Q5JY77
P11021 Q7Z6K1
Q9UII2 O15085
Q92664 Q5SW96
P43155 O14672
Q8TAF7 Q6ZTA4
Q9UJZ1 Q9NQX6
Q92556 O43181
O95864 P10636
P11532 P16615
P49810 Q13613
Q9Y5B6 P41250
P21796 Q9ULG1
Q9NZJ4 O95218
Q16799 Q5VT25
O15382 O14709
Q9NP73 Q05209
Q03936 O60313
P06753 P99999
P08621 P46821
O95881 P61247
P56480 Q8WUY3
O75381 Q8NDW4
P61764 Q99784
Q9NR31 Q9H2K0
P49411 Q9NVR2
P14866 Q16850
O95292 Q96JC1
P52740 Q15084
O35180 P38159
Q96CT7 Q9Y446
Q9Y4Y9 Q15746
Q06335 Q9Y5K8
Q52LR7 O00471
Q99719 Q14919
O15121 Q9UQ16
Q9GZT6 Q13613
Q96AG4 Q16543
P62937 Q9P246
P04844 P45381
Q06730 Q96ST8
O08553 Q13263
Q9UI95 O35887
P09651 Q9JKR6
Q9CWF2 Q9ULW6
Q86UP2 O94972
P55197 Q9ULA0
Q9UKN8 Q96DZ5
Q92609 O43490
P07203 P52272
Q96KR1 O75110
Q8NCW6 O75044
P11712 Q00839
Q13948 P52434
O00273 Q2KHR2
Q9P0L1 Q13509
Q13439 Q6VMQ6
Q8IZ52 P84243
Q03936 Q15043
P14927 P60468
Q04837 Q05397
P07195 Q03265
Q16850 Q5JVL4
Q9UKN8 O95196
Q9H074 Q9P0M6
P32121 Q53R12
P55884 Q8TBA6
Q9UII2 Q9Y265
P47708 P55809
Q3T906 Q9H0A8
P99999 P31948
Q12955 P21796
P63096 Q16850
Q9BPZ7 Q9NRP0
Q96JP0 P68400
Q14689 P06753
Q9Y2P0 P04040
P51692 P17302
Q13303 Q8TAF7
O15258 P52179
Q9H6F5 P63027
Q9NXW2 P01130
P35279 O43402
P50991 Q9BQ70
O60313 Q5T3J3
Q5SXM2 Q00493
Q86UP2 P20248
Q02386 Q00325
Q86UP2 Q9HCM1
Q96MU7 Q9BTU6
Q96RE9 Q96P47
Q75QN2 Q16595
Q9BR01 Q8IY18
Q9BW30 Q9NP73
Q9H1E3 Q9H2X8
P16083 Q5VWX1
P61158 Q8NFA0
Q9Y5Q9 P24723
P78318 Q9NS37
Q9P219 P51881
Q9NVZ3 P21359
Q8NBB4 Q13867
P55197 P17302
Q92598 O95070
O60315 P49368
Q99784 P11766
Q5JRX3 P06748
Q15788 Q92743
Q14571 P30049
Q8TCD5 Q9Y3D2
Q52LR7 Q9QUN7
Q96GD0 Q9BVC6
Q8NFZ0 P50502
Q9NVI1 Q9Y2V2
Q08211 Q16891
O00237 Q14011
P43243 P46108
P09496 Q9BRT6
Q8IUR0 O43768
P54725 P18085
Q14596 Q969G3
Q9H7C4 Q9BUK0
P16298 Q9NVI1
P05204 P56480
Q92616 Q14592
Q6AZW8 P68032
O43837 P61978
Q8TBJ5 Q92542
O75128 P14927
P46977 P21707
Q8TDM6 P35564
P53999 P41250
Q9D1Q6 Q9Y2J0
Q13501 O70228
P59923 Q9NQX3
Q9NR80 Q6NTF9
P30622 O15235
Q8TF01 Q8N5M9
Q9P0L2 P17600
Q9BWH6 O60333
Q9C0H5 Q92556
P26368 O08553
P46778 O75746
Q8N3V7 P21506
P52434 P78559
Q8K3H7 Q9H583
Q9NYP9 P48553
Q8BHN3 Q9UIV1
O75746 Q14978
Q14789 P63241
P04040 P21127
Q15014 Q6NZ67
Q8NE35 O95864
Q9BQI5 Q13438
O15056 Q8K3H7
Q9C0K7 Q9CQR7
O60282 Q6AHZ1
O75190 Q5VZ66
P16519 Q9H9L4
O95208 P57088
Q9NZ42 Q00994
P30049 Q9Y3P9
P78396 P05089
P00432 Q14011
Q8VEM8 Q15084
P10606 Q9H4A3
Q8TF30 Q96AE4
Q9CR62 P51571
Q9HCM1 P05198
Q9UNN5 O43865
Q9BX70 Q9ULW6
Q9UBB6 Q5VZ66
Q9Y2P7 Q9BT88
Q15172 Q9D6M3
Q96P47 Q9H0D6
Q9Y2J2 P56480
P62310 P07437
Q9UK22 O75164
P15253 Q86XK2
P35637 P04040
O75069 Q6WCQ1
Q9UIF8 Q99519
Q15149 P40926
Q96HQ0 O14879
Q7LBC6 Q9P246
P60866 P54252
P49458 Q9Y3Y2
P35637 Q9H4A3
Q8N3I7 Q12788
Q15382 Q9GZX5
Q13613 O00237
P19388 O75962
P22695 Q9UKX7
O60231 O75140
P13010 Q8BW75
P35250 Q8NFW1
Q9Y2L9 P62631
O15372 P21506
Q8TBC5 Q9UPW8
P14625 Q13310
P20674 P07195
P40938 P46108
P49368 Q9BRT6
P78318 A2AJT9
Q14165 Q13310
Q9NY65 O60427
O08553 P17152
P63244 P43155
Q9HC77 O60315
Q86UE3 Q80W21
Q922R8 Q08209
Q99436 P04925
Q8TAS1 Q13885
Q6PKC3 O14879
Q52LJ0 Q8BHN3
P00505 Q09666
P50213 Q9NRY4
P49411 Q9H4A3
Q96AE4 Q99698
P36776 P08238
Q91VZ6 P25705
Q99JH7 Q5VTE0
Q52LJ0 P11712
Q96JP0 Q9BRT6
Q7KZN9 Q00839
Q13263 Q9BR01
Q9C099 P16104
Q5W0Q7 O14976
P08253 Q9UM00
Q5T1M5 P04925
Q9UL68 Q9H974
O95243 P18085
P33778 P42684
P21397 P04844
Q99714 Q8N5U6
O76094 Q9UID3
P46460 P55197
Q15788 Q9Y496
P51572 Q9Y2P0
Q9UBC2 Q9P2W9
P50991 P31930
Q15014 Q9BVK2
Q9UHB7 Q99962
Q92734 Q7L8L6
O75437 Q9BZQ6
O15015 Q96HC4
Q9Y3E1 Q8WZ64
Q9NZN3 P43243
O14964 O14709
O75581 A2IDD5
O70228 P31040
Q8IZ26 Q9BY11
P30520 Q96AE4
Q9UBW7 Q9Y2I1
Q2KHR2 P48201
Q9NZN5 P10809
P61981 Q9Y446
P53999 O95433
Q9BR01 Q99LP6
Q9Z140 Q9BTV4
Q969K4 Q13948
Q96GD0 Q5T3J3
Q62421 Q9BUP0
Q16850 Q08209
Q15172 P14625
P51532 P62857
P97887 Q8NEK5
Q96I99 O14978
P63165 P29758
Q15257 Q9P2B2
Q9Y2L9 Q8N3C0
Q9NT68 Q14194
P07237 P00414
P39656 Q9NR56
P51826 Q9ULH1
Q15843 Q9NTX5
Q15393 O15240
Q9UFD9 Q9Y3E1
Q8NFW8 Q15005
Q8WTS6 Q13867
P26599 Q96E17
Q9UBC2 Q8TC12
Q8NCP5 Q62421
Q9H6F5 Q9NQW7
Q13322 Q9UKX7
Q12996 P20336
Q96M27 Q06335
P68369 Q8N5Y2
P40692 Q6NZ67
P16402 Q9P0L2
P24369 P82933
O14827 Q9NPC7
P18031 Q15303
Q969K4 Q96F05
Q15818 Q99676
Q9H2X8 Q9Y5X2
Q12931 O14810
Q9DC70 P04350
P19388 Q15438
Q9NVP1 Q99666
Q5T3J3 P18085
O00767 Q9NVP1
Q9H1E3 Q9NP73
Q92782 Q8WWZ7
Q14588 P56559
Q13561 Q15059
Q8TCU4 P28330
P99999 Q7Z7A1
P14854 Q96B97
Q93075 Q9BSJ8
Q7L7X3 Q922R8
Q8TF74 P35610
Q8NFA0 Q53R12
Q9BY66 P07384
Q3T906 Q9H0C5
Q309B1 Q15427
P51571 P10599
Q16850 P48553
P55081 Q8WXD2
Q61644 Q6AHZ1
P27797 Q9H3D4
Q96DT7 Q9JKR6
P38606 Q06481
O43896 O14978
P00414 Q60780
P06753 Q9ULD5
P36776 Q3T906
O60641 P15253
Q2M3W8 Q7L099
Q15651 Q08209
Q96SB8 O95153
P10632 Q9UHI6
Q9UNL4 Q16891
P48201 O75448
Q9Y4E5 P62081
O75376 O14879
Q9HCD5 P53396
Q3T906 Q9UBZ4
Q9UKM9 P50502
Q9H0A8 O94905
Q00325 Q00535
P51693 Q6ZW49
Q9Y2J2 Q8N8Z8
Q8N9K5 Q7L2E3
Q9D1Q6 P42684
P33778 Q7L2E3
Q9HCM1 O14782
Q9Y3Y2 Q9BQE3
O14709 Q9BT88
P18085 Q15717
Q6PD62 Q9UKA4
P06576 P10645
O43490 P27816
P49810 Q99719
P39054 P16104
Q9HCS7 Q9NYJ8
Q9BZ95 Q71U36
Q8TBJ5 P63027
P04181 Q96G01
P43307 P50579
P04181 P11137
Q14847 Q14592
P10109 P43490
Q8NE71 P35279
Q9Y446 Q04837
O75694 P25705
P33121 Q9WV31
O75525 Q9NRI5
Q16850 Q13347
O15240 P51572
Q9P0L1 Q8IVF5
P61979 P51649
P35998 Q8WWZ7
P51571 Q8N163
Q9HCM1 P11766
Q13813 Q9BY66
Q15185 Q15843
O60603 Q9Y2K5
P62995 A8MQT2
P0C869 O60885
Q9P0J1 Q12907
P51608 Q91VR2
Q9NVP1 Q155Q3
O00505 P28331
Q14202 Q8N987
P62937 Q07864
P35610 Q96EY5
P53396 Q9Y468
Q86WG5 P61009
P55081 P58107
Q14155 Q9H2U2
Q9H444 P31040
P21912 Q9BR01
O94905 P84103
P05109 P99999
Q8N184 Q9ULH1
Q8NEF9 O94892
Q7L8L6 Q15370
Q14181 Q7L2E3
Q9BT78 P36776
Q15102 Q9HCD5
P07437 P31040
P52758 A0FGR8
Q02386 P50990
Q92841 Q13948
Q15818 O15121
P48774 Q13438
Q9Y483 P16519
Q9Y2P7 P48553
Q9Z270 P20674
P10809 O95905
P42704 Q00765
O75164 P04925
Q6ICL3 P15626
Q9NRD5 P33260
Q9UBS4 O75563
Q99LP6 Q9ULD5
Q2M1K9 O15355
P31942 Q9Y2I1
Q9BZD4 Q9NP73
Q9UJC5 Q9BQI5
Q9H974 Q8N5Y2
O60711 O94955
P51572 Q9Y6X6
P07910 Q9BQI3
Q8N3C0 Q9UKA4
Q8TAS1 Q8IUR0
P55145 Q15257
P50281 Q8TC12
P52740 Q9UID3
Q58FF6 Q9UKK9
O75688 Q9NXW2
P28331 P07900
Q99714 A2IDD5
Q9UGL1 P50440
P02766 Q8NCP5
P07910 P21707
Q15651 Q15149
P30622 Q9BRT6
Q6ICL3 Q96RY7
Q8N3V7 Q8N8Z8
Q6ICL3 Q9UBB6
P12023 Q04837
Q9H6D7 Q9JKR6
P06753 Q9BRT6
Q92625 Q96AG4
P14618 P03897
O94955 Q8N668
Q15904 Q8NCW5
Q14197 O35350
P62273 Q8IX21
Q13554 Q14202
Q96DT7 Q9H1K0
Q06830 Q9ULW6
P67936 P62631
Q9H0D6 Q8TDM6
Q9UKI8 P54687
Q61214 Q5JRX3
Q15843 Q9P2J5
Q9UPW6 P23284
P12956 Q9CQR7
O75385 Q8IZ26
Q6ZS27 Q15691
P22695 Q13310
Q00765 O75143
O75385 P54252
Q9BPU6 Q76KP1
Q5VTE0 Q13435
Q9UBB6 O75928
P30101 Q7Z6L1
Q9NYP9 Q16643
Q14197 P04844
Q6QI68 Q13131
Q8N8Z8 Q14571
P14678 Q9NR31
Q16595 Q6IQ20
P50213 Q62419
Q9C0I1 O95292
Q15643 Q14592
Q13137 Q8NFA0
Q15427 Q3KQU3
Q9Y383 Q3KQU3
Q06055 Q9ULP9
O00767 Q92876
Q13439 Q9BZ95
P84085 O75525
P38159 Q92556
O15020 Q9UID3
Q9BV35 Q9Y6D0
P46778 P10828
Q9UIF8 Q13085
Q9Y2D2 P10911
P55809 Q96R06
Q8VEM8 Q9H0E2
P21707 Q02386
Q922R8 Q7RTP6
Q15043 O75925
Q14588 P01130
Q03265 Q9NZ42
Q9UHD8 P16403
Q9BS34 P33176
P54274 Q8N2K1
Q12769 Q96JJ3
Q9Y6N7 Q86Y82
Q05209 Q9UKX7
Q9UP83 Q9HCS7
P08621 Q08379
P30049 Q5H9K5
Q9Y5A9 Q16891
Q9Y5B9 P16298
Q86UP2 Q9H6Z4
P84085 Q9GZT6
P46063 Q9H4A3
Q12907 O60333
O35887 Q9Z140
Q99962 P55197
P07237 O95258
P30153 A2AJT9
P08865 P51649
O60318 Q14571
P52272 Q9UHD8
Q9NP73 O00273
Q9BV35 Q9EPL2
Q9HCE3 P35241
Q01081 Q9NZN5
Q4J6C6 Q8WWI5
A0FGR8 O00401
O75525 O75334
Q62419 Q5T3J3
Q9Y618 Q9Y3U8
O15344 Q8IY18
Q99784 P04632
Q9UNL2 Q92985
P68368 Q07864
P99024 P17152
P61201 P49411
Q8NFA0 O15355
P31930 P31943
P35637 Q8TCU4
Q9Y5S2 Q7Z699
O43150 P55081
Q8IYB3 Q9BR01
Q14847 Q14669
Q9WV92 O14776
Q9Y2D2 Q03154
P16298 O75164
P17152 Q86YW5
O15067 P49810
P35237 Q6ZNA1
Q9NR80 O75925
P10809 Q13642
Q8C0C7 Q9UHB7
Q9EPK2 Q9Y2D2
Q9BQE3 Q9NVP1
O43257 Q86YW5
P53804 P16083
Q63ZY3 Q9NPC7
P00846 Q86YW5
Q9BQI3 Q06055
O14880 P14136
P10637 P52272
O75140 Q99496
O60427 O75563
Q96E17 Q06732
Q06335 P51881
P26599 Q9UPY8
P62195 Q9BX68
O60239 Q3T906
Q9NVI1 P50213
Q9BX70 Q8NCW5
Q9BY11 O95232
O60716 P43155
P63104 Q9C0H5
Q9BVK2 Q9NZM1
P08113 P54687
O00479 Q9ULH1
A8MQT2 P28676
Q9NPC7 Q14152
Q9P2J8 Q92598
Q9BQ95 Q9P2E9
Q9GZM8 Q9BZK7
Q9UIV1 P00505
O14682 Q9DB20
O95996 P55197
O75385 Q8BH59
Q9Y3D6 Q16143
Q80W04 Q96QB1
Q9Y277 O70228
O00311 Q9NR80
Q9Y277 O75381
O15243 Q8WXD2
Q06055 O75150
Q9NX46 Q8N5M9
O43572 Q8N8J6
O43768 Q8N5Y2
P39054 Q8NEK5
O75525 Q8BVF7
Q13398 P20029
P16519 O75110
Q9Y5X2 O60673
Q8WWI5 O43768
P21912 Q86TG7
Q922R8 Q8WY54
Q9UM00 P63017
P00558 Q9H2X8
P50990 Q03936
O60762 Q96EY5
P62273 Q6PD62
Q6NZ67 Q8NCW6
P55081 Q9Y5W8
P50502 Q99LP6
P31150 P62745
Q9P016 P00558
Q9H9A5 Q8WUD6
Q64467 Q9BX68
O75746 P07910
Q6P2M8 P49821
Q7Z6G3 Q15369
Q99757 Q9Y6D9
Q96CS2 Q9Y3A2
O94923 Q6ZTA4
P61978 P57105
Q8TAF7 Q15154
O95197 Q12769
P04181 Q9C026
Q13796 P46977
Q14197 Q9UP83
Q9NPH2 P31040
Q9UJY4 Q8BH59
O43490 Q96JB5
Q9BYX7 P14314
Q9UQ16 Q8WYH8
O95864 P06899
P11233 Q9CR62
Q15818 Q9Y2P0
P39054 Q9UKK9
Q9UHB7 O60229
Q96I99 O43581
Q5JPE7 P02766
P97432 O43181
P51572 P07910
O75822 P55809
Q9Y3P9 Q6NTF9
P20936 P07305
Q15392 Q92905
Q96RK0 P61019
Q96IV0 Q8WWZ7
Q8N5M9 Q92947
Q9BV35 Q99496
Q9NZ52 Q8IZ26
Q00059 Q16181
Q15464 Q9UNL2
Q07065 O88935
Q92734 P98179
Q9HAD4 Q09666
Q96MT8 Q96AG4
Q9Y3A2 O15066
P05165 Q9UQ16
Q15691 Q06335
P61353 Q99877
O75533 Q9BXC9
Q86XK2 P14136
P17302 P49321
Q9Y6D0 Q13263
P10606 Q96SW2
O14827 Q05639
P13489 Q9Y483
Q13614 Q13398
Q7KZI7 P55809
Q8WVM7 Q13948
Q9NVZ3 P21796
Q9UM00 O89112
Q8K3H7 Q12955
Q9ULD5 Q9Y5X2
O75533 O75128
Q9H6S0 Q99LP6
P51532 P04075
Q6DJT9 Q5SZL2
P78318 P52434
O89112 Q9UNL4
P51649 O60293
Q9NRD5 Q75QN2
Q9HDC5 Q99689
P25705 Q9UKN5
Q96AG4 P10109
P27105 Q96QC0
P01009 Q9C026
Q14571 P49411
P04632 Q53GQ0
Q04727 Q155Q3
P51826 Q9NP74
Q9D1Q6 Q5VU43
Q9BV35 Q8NCW6
Q96M27 P23526
Q8TCU4 Q9Z270
P06396 Q96F05
P04843 Q9C093
P62310 A0JNW5
Q9GZT6 O95347
P25705 P61353
O43490 Q00688
Q8N5M9 Q92625
O94979 Q6NTF9
Q62188 O95881
Q9Y5A7 Q9CWF2
P04040 Q9H254
Q93045 P60468
Q9UGL1 Q13796
Q6UXN9 Q9P2U7
P53990 Q6Y2X3
P29758 Q96Q89
O75431 Q9Y490
Q9H0E2 P56385
Q99LP6 Q9UH65
P52597 Q9Y2A7
P49768 Q96K83
P31150 Q9P035
P30520 Q8NI27
Q9HAV4 Q9BSJ8
Q9UII2 P26196
O75581 Q92556
O75251 P14598
Q5H9K5 P61019
Q96BD6 P57088
Q15459 Q9C040
Q80W21 Q9HCZ1
Q3T906 Q9Y5A7
P45381 Q9Y2D2
Q9C099 O95292
Q9BW30 P04156
Q9UPW6 Q9NRP0
Q9UNZ2 P31930
Q14181 Q7KZN9
Q86T29 Q922R8
P11766 Q9BX68
Q01081 Q9ULP0
P11233 P68400
Q9UM00 P16870
Q9NQR4 P51991
Q8N5Y2 O43572
O75381 Q8WWZ7
Q8TC12 O60239
Q9BQB6 Q00059
Q9NYW8 O95208
Q09666 O89112
Q15427 P25325
Q8VEM8 Q8TF01
P04925 Q9HCD5
Q9NRP0 Q9Y2V7
P63330 Q92947
Q12934 Q96N64
Q9BX68 Q96SW2
P33947 Q15303
P31946 P01130
Q9BUF5 Q8WTS6
P62273 P00505
P40938 Q8WXI2
Q07864 P21707
Q9NQT8 Q9UJY4
Q9NS37 Q9NY65
Q86UP2 O75376
Q9NZM3 Q9NP73
Q13613 Q9Y446
Q8WXD2 Q9BZK7
Q8N8D1 O00408
Q86U28 Q5SXM2
P63010 Q9Y5A7
P53999 P24723
Q15651 Q9C0D2
O00767 P52746
Q14697 O95571
P47756 O75110
P46977 Q8TCU4
O75581 Q07666
P21506 Q9Z1G4
Q8NE71 P00432
P23381 Q9Y3Y2
Q14919 Q13867
Q52LR7 Q86Y13
P53004 Q9UQE7
P04181 P35609
Q96RT8 O75643
Q8IVF4 P0C0S5
P11137 Q6ICL3
P06899 O43581
Q9NZN5 Q9NT68
O60231 P29762
Q16891 Q9H0U4
Q3KR37 Q8NI27
P12956 Q9H9E3
O95243 P68032
P46821 Q9H2U2
P14625 Q12788
Q9UKM9 Q14318
Q8IZ26 P01912
O00154 P0C0S5
Q9UJY5 P49321
Q9H2U2 P07910
Q6AZW8 P11233
Q61644 Q8TF01
Q01082 Q8WWI5
Q9BV35 P46100
P05198 Q8NFZ0
Q9NYW8 Q9Y5X2
Q9Y5Q9 Q8IVF4
Q32MZ4 O43837
Q15651 Q6QI68
Q63470 Q12955
Q7Z4S6 P30876
Q96BI3 Q9UI95
Q9NWB6 P13693
Q05639 O14613
P39054 Q6ZS27
P48201 Q9NQX6
O15126 Q9P0L1
Q9Y3D6 P04843
P40616 P10828
Q9Y6Q5 Q14592
O95359 P43307
Q80W04 P63104
Q9H9H5 Q16656
Q92743 Q6UB98
Q99496 Q16851
P54727 O43837
Q922R8 Q15631
O00425 P14625
Q9BWC9 Q8WZ64
P33121 Q9GZX5
P49810 P06748
Q9UQE7 Q99683
P30153 Q8WWZ7
Q96E17 Q9UPW6
Q9UQ80 P56385
O96028 O88935
A0FGR8 Q8TEX9
P82933 P52434
Q9ULW6 Q96QB1
P17600 Q8N488
Q9H2X8 Q15643
P17096 Q86YM7
Q9H2K0 Q05397
Q6UB98 Q8IUR0
P82933 Q13098
Q9D1Q6 Q92890
Q9Y2X7 Q9H6T0
Q96JF6 P40616
O75746 Q13085
P35968 Q9UII2
O00479 P06576
Q12907 Q8WXH0
P04040 P62701
P51572 Q8C0C7
Q8NI27 Q60932
Q14697 Q9UGN5
P13489 Q2M3W8
Q00493 Q16799
Q86UL8 Q99714
Q9UNP4 Q07954
Q10567 Q9H0D6
O60315 Q8TDR0
Q9P086 Q12934
Q9P2Q2 O00237
Q9UM00 Q9BWC9
Q96RY7 Q8NFA0
Q13509 O96008
Q9NVI1 Q9Y6H5
P31150 Q8TF01
P49841 Q8IUR0
Q15651 O94923
P03897 Q6ZNA1
Q53EL6 P14314
P60866 Q9BUK0
P24723 P15622
O94892 Q9NSD9
Q9H2X8 P35658
P16989 Q04837
P38159 Q0VGU4
Q5VWX1 O15126
P04844 O15355
Q9NR09 P62745
P55145 Q9H0U4
Q9UKN5 P16615
P08865 Q99757
Q9DC70 Q92664
P20336 P55809
Q9P258 Q8WWZ7
Q9NR31 P37840
Q9NYP9 Q7Z6L1
Q5JY77 P49810
O75925 Q9UBS4
Q5H9K5 Q00610
Q13322 P06576
Q9P2E9 P11142
P62495 Q86U28
Q9BY11 P62995
Q9NRI5 Q02386
P20357 P17844
Q9P246 Q9H0M0
Q8WXA3 Q92598
Q04727 O14613
P15253 P52948
P28676 P33908
Q9UQ80 O15243
Q5TBA9 Q9BQ70
Q96RK0 Q13137
P04844 P48201
Q9UQ35 Q92614
O15067 Q9Y4A8
Q16617 Q9UJY4
Q99676 P35610
Q9GZQ8 Q9Y5A7
Q6P4R8 Q9CR62
Q96G01 Q15029
Q1KMD3 O94979
Q9UGL1 A0FGR8
P99999 Q92945
P30043 O88935
Q6PKC3 Q96E17
Q9GZU8 P53582
P49810 P10637
O75150 Q6IQ19
