O95400 Q9Y4W6
O60861 Q9Y3C6
O60524 P04179
Q9NP97 Q9Y3C6
Q9BY77 P09669
Q04727 Q8BGH2
P40630 A8MXV4
P51693 Q9BQ39
O95819 Q7Z2W9
P62857 Q15369
Q9H488 P26374
Q92522 Q7Z6M4
Q15631 Q8CAQ8
Q5T447 Q9CQ69
A2AJI0 Q02978
Q9NQ48 Q86UP2
Q9CQQ7 Q9BQ69
P83916 P08050
P05091 O60832
Q96AG4 Q99719
Q16630 Q9DB77
Q62952 P56391
Q13467 Q32MZ4
P83881 Q9H1E3
Q96BY9 P13010
P58004 O75306
Q16850 P27694
Q96CV9 P51398
P68372 Q09028
O75934 P82675
P22528 O75581
Q9H334 O75342
P49802 O75581
Q8VBT0 Q9CQH3
Q99LY9 O15143
Q9Y3Z3 Q96I99
Q13257 Q16891
Q5VWG9 Q8NI60
P63045 Q9BQ70
O75600 P49915
P62854 Q16891
P51553 Q9Y230
P19388 Q9QWI6
P05423 P15999
Q13867 Q9HCC0
Q9Y277 Q96GX2
O00268 P53582
Q9H8Y8 P29066
O75581 Q01581
P16989 P35354
P35564 Q9BYX7
Q6IBS0 Q8IUF8
Q9BTE3 A8MXV4
Q9UGP8 P31751
Q10713 Q96BY9
Q8WXA9 Q99LC3
Q9Y3D8 Q86YZ3
P30536 Q9NYV4
Q9NZ01 P19332
P25490 P09132
O43172 Q9QYA2
P57740 Q99700
Q9QY76 Q96PT4
P16949 Q9NRZ9
Q15042 Q9Z270
O14974 P28331
Q96KN3 P62820
Q9Y484 Q9CQ54
Q99504 P83436
Q01780 P98161
P17480 Q9WVC0
Q8N983 Q9P013
Q9UKN8 Q8VBT0
P11171 P45880
P26374 O75525
P62875 P68369
Q9NZ01 Q7Z4V5
Q6P2Q9 O43516
Q969S9 P84243
P00918 Q15059
P49368 Q6P1J9
P50748 Q96A33
P06730 P05455
Q9BU23 Q93045
Q9H0S4 Q9Y5L4
Q15393 P83881
Q16143 Q13435
Q6PK81 Q9NSD9
Q9UPY8 P17480
A8MXV4 P30101
O95405 Q05519
Q8CJG0 Q99551
Q9H845 Q9H0S4
P27824 Q9NQ88
Q8WW12 Q92614
O00541 P49411
Q5VTR2 Q8R418
P25106 Q15596
O95202 Q99729
Q9Y5X2 P55084
Q01804 Q63HQ0
Q8QZZ8 P82675
Q9BYC9 P17858
Q15691 P20700
Q9P0M9 Q00839
P13667 Q06124
P11387 O14654
P07814 Q63470
P62270 Q9BU61
Q15459 P85845
Q9H3N1 P13473
P53618 Q9Y305
A6NHL2 Q99549
Q99442 P78371
Q9H9B4 Q86Y56
Q5XIM9 Q9UIF8
O43776 Q13243
Q13823 O14672
Q9NZ42 P14174
Q9Y3Z3 P63044
Q9D6J5 Q14839
P46460 P51553
Q8IXI2 P63260
P17426 Q9Y657
Q9Y291 Q9Y4W2
P30536 O75937
Q9UG56 P53396
P50991 Q13029
Q62277 P35564
O88477 P17152
Q9CQJ8 O35526
Q9Y2Z0 P61803
P01106 Q3B8Q0
P21912 O35987
P47985 P07384
Q9H5V7 Q9H2A2
Q15796 O15260
P46459 P33778
Q14964 Q8IV08
P10242 O60488
Q9BT88 Q9BUJ2
Q8IY81 Q92599
Q96I99 Q6P7A2
Q5NDL2 P63325
Q5VWQ0 O00743
P61019 Q9Y2K1
P46977 P63260
Q9CPQ3 Q5D862
Q92665 Q14651
Q5JRX3 P35222
Q12769 P35704
P53597 Q3UHD9
P05091 Q9UQ35
P99999 P12814
Q5JTZ9 P00558
O60337 P51141
O14802 Q9NYK5
Q12907 Q9BSF4
Q9Y383 Q8WXD2
Q9HAV7 P05109
Q9NRX5 P46460
P05141 P35998
P48771 Q14135
Q4LE39 P48771
Q91YQ1 P40692
Q8N163 Q13907
P22695 P23381
O14949 Q96A33
P62140 Q9D855
Q13561 Q6NVY1
Q9Y4B6 P48735
P13995 Q3B8Q0
O95793 Q9D6J6
Q9Y277 P25205
Q8CHZ9 Q9UNN5
Q9HCC0 Q01780
O15240 Q9CQ75
Q05639 Q13907
Q9WV60 Q9NYK5
Q9BYN8 P54652
Q14318 P78345
Q969N2 Q9DCX2
Q14197 Q14444
Q9NRX5 Q8NEW0
Q8CJF9 Q06710
Q9UIL1 Q8WUA2
O00767 O35625
P39748 Q16850
Q96T23 Q16658
P50516 Q8JZU2
Q8IX12 Q9UKN8
P19447 P60953
P07900 P48771
Q8N163 Q14789
Q96E17 Q13907
Q8NBN3 O35814
Q8K2H1 Q9D855
P56385 P21399
P61956 Q6YN16
P35354 Q9Y3Y2
P23284 Q96GX2
Q00688 P61981
P49411 Q8TEQ6
P61163 P16402
P49406 Q92598
P68400 P39054
Q9H2A2 Q14566
Q9HC44 Q13467
Q9JHJ0 O75306
Q15596 Q3V3N7
Q99623 Q8NBU5
Q91YT0 Q969N2
O35643 O00268
Q91YT7 Q16740
Q96G03 P24311
Q99LY9 P50399
Q92932 Q9Y3D8
Q96AG4 P78371
P30622 Q8K3J1
P82663 Q9NP72
Q8N1G2 P05213
Q9P2X0 Q13427
P49419 Q8VBT0
P19447 P30048
Q9HD20 Q8N1G2
O75688 O75477
P26368 P46977
P04843 P27708
O95433 O14874
P82663 Q15369
O75746 P39053
P49406 Q9UQD0
Q06055 P17275
Q00688 Q9Z266
Q8IWX8 P03921
P07910 O96008
Q3KQU3 Q8BH59
Q8WWY3 Q8IWZ6
Q99LC3 Q7L5N1
P83436 P29066
Q8JZU2 O60749
P12532 Q9P2R3
P82933 P61982
P12235 Q14320
Q9UPQ9 Q8NFW8
Q9BY43 Q14320
Q9WU34 Q9H845
Q9D6M3 P0DN79
P17600 P57740
Q96G03 Q96DV4
P43686 Q7YU24
P24386 P45880
Q9CQQ7 O60337
P27816 P19404
O95168 Q6XE24
P52209 Q96A33
Q9WV55 Q96IJ6
Q9UKI2 Q8NBQ5
P28331 Q9NY65
Q15084 Q9BY43
P49368 O95847
P42568 Q9Y6W5
P32322 P42025
P49736 Q8IWX8
P30040 Q14203
P45954 Q99933
P06454 P23526
P61983 P52655
Q9NWB7 Q6P1L8
P49821 Q12765
Q96RT8 Q9Y2C2
P31150 P17535
Q8WWY3 Q9Y5X1
Q7Z2W9 P08238
Q96G23 Q8R081
Q86TJ2 P00558
O60832 Q60930
O75477 O15355
P50748 O75489
Q9NRW7 Q53QZ3
Q8WVN8 Q9EP89
O55143 Q9H0U4
Q99471 Q8NBS9
P67775 Q7YU24
O43396 P11177
O43303 Q9UK59
O09111 Q61644
Q8NBN3 Q15042
Q9H0U4 Q16576
Q9HCP0 Q8TCT9
Q9HD26 Q13263
Q9NX20 Q9Y4G6
Q53QZ3 Q13243
P14174 Q9NRX5
P82932 Q61644
P51398 Q9QYR6
Q9NV56 P32322
P68363 O75396
P11499 Q99LY9
Q9H307 P63039
Q5XIF6 O43719
Q13637 Q09028
P17427 Q9NTJ5
Q9D8B4 Q9BRJ7
Q9DB77 P29966
P50454 Q5T5U3
Q9Y3D8 Q9CQC7
Q63HQ0 Q9UKV3
Q07864 Q8IYB5
Q9NTX5 P83916
P51148 Q61387
P49821 P51863
Q9Y484 Q9H3H9
P97434 Q01094
O94826 Q5XIM9
P43243 Q00169
O00116 P00387
P32019 P05091
Q15532 P62820
Q9NRW1 P33778
O09111 Q9QY76
P11442 P35250
Q9UL18 P20823
P25685 Q92734
Q62277 O00268
Q13029 Q8WVM8
Q9H5Q4 O95470
Q9BU61 Q3UHK8
P43243 Q96CS3
O75822 P09103
Q5TA50 O00411
Q9CQV8 Q5BKZ1
Q8IUF8 Q9JHJ0
Q9R0Q7 Q8IV08
Q9BW92 Q9Y5X1
Q5BJF2 Q6P7A2
Q9DC69 Q12907
Q14974 Q9ULC5
Q9R1R2 P0CAP2
Q9UKM9 Q02978
P48047 Q9CPW4
P56556 O95171
P61247 Q5JTZ9
Q8WYQ5 Q8WVN8
P48771 P62630
O60333 Q12874
P82673 Q7L0J3
Q9BSF4 Q15717
O88477 Q15031
P35659 Q9NPQ8
Q9UIF8 O14579
P30101 Q7Z6Z7
Q9BY11 O00124
P15121 P07910
P31751 Q9Y4L1
P35213 Q91YT0
P52948 A5A3E0
O43491 P20340
Q9H8Y8 P29966
P03911 P62879
Q92598 Q9P013
Q8NEW0 Q80YN3
Q96MG8 Q96BY9
P60228 Q5JPE7
P68373 Q8WWY3
P40227 Q9Y5Q8
P59999 Q60932
P19404 Q68FD5
Q9NZ42 Q86Y56
Q9UHD8 P61956
P10809 P13668
Q99426 O75525
P17302 P39053
Q12765 P25490
Q9H936 Q9EQH3
Q38SD2 Q5XKP0
P22695 P52907
P62330 A6NK53
Q58A65 A6NK53
Q8BZ98 O60231
Q8R1I1 Q9D6F9
P50213 Q2NL82
P38646 Q8N6T3
Q14155 O95751
P62314 P25705
Q99697 O95405
O00767 P17426
Q8CAQ8 Q01968
Q8N0X7 Q811U4
Q8BH59 Q92973
Q9UQD0 Q06055
Q6IAN0 O95400
P25786 Q15738
P30275 Q8R418
P49802 Q86UP2
Q9BQI5 Q7Z6M4
Q9CXZ1 Q7Z7E8
P83916 Q92574
Q99551 P52948
Q53H12 Q8N2K1
Q13888 O75306
Q14197 O08849
Q9P2W9 Q9Y4B6
Q13347 O75934
Q5C9Z4 O76094
P26639 Q6PK81
Q9H3H9 Q99832
Q9GZT3 Q9P209
O96008 Q00169
Q6L8Q7 P35704
P55084 Q9HC44
Q9QWI6 P51398
Q9Y4W2 P04181
P48771 P05787
Q9P0M9 Q99719
O95789 P26038
P61006 Q96JM7
P09103 Q99729
O15498 Q9H9B4
O14579 Q8NFW8
Q9DBG3 O75600
Q96CS3 P20700
P13010 P04040
Q15020 P04179
P47985 Q9NW64
P03921 P50990
Q96G23 Q14966
Q7Z4V5 P07741
Q9BRP8 Q9CQQ7
Q7Z6M4 O43809
Q9DCX2 P17980
Q9DCX2 P17480
Q9UI09 Q969N2
Q8CHZ9 Q62952
Q9NRW7 Q15185
P35579 P42568
P63313 P26368
Q9P0U4 Q9BQI5
P42679 P22695
P42166 P62082
P49406 O14641
P29122 Q00534
O08539 Q7L0Y3
P21912 Q03701
P08574 Q9NYU2
Q9QXX4 Q8TDD1
O75832 P20340
Q14566 P07384
P51693 Q5SRD1
P61014 Q8N1F7
O15068 Q66PJ3
P68400 P04075
O75150 P21399
Q58WW2 P61982
P46460 Q8BH59
Q5XIF6 O15160
Q9HD33 P51965
Q86Y82 Q5T200
Q9Y5K8 Q9H845
Q9NRN7 Q8WUM0
P08559 Q9H0N0
Q8TD16 Q9D0M3
Q9UIF8 P58771
Q9NXB0 P13995
Q9P035 Q13885
P17480 P24311
P10126 Q96TA2
P29067 Q9CR68
Q91VR7 P13667
O95573 Q3KRE8
O75688 Q8N183
P35637 Q9BXM7
Q53R41 Q9R0Q7
Q03252 P05413
Q8VBT0 Q99689
Q8NFW8 P99999
P15999 Q7Z7E8
Q9GZL7 P49588
P83881 P82650
Q52LJ0 Q969V3
P03888 Q16222
P17426 P43274
Q9HC35 Q7KZ85
Q14790 P30533
Q2PQA9 Q969V3
Q5JRX3 Q5SW79
P30275 P29374
Q9UQR1 Q02978
Q8N2I9 Q5SRD1
Q9CQJ8 A2CG49
Q9Y5B9 Q9Y5K8
P09496 Q8NBU5
Q96RT8 Q9Y5Q8
Q9D855 P16086
O95847 P46777
Q7KZF4 P31930
P58281 P30533
P08082 O60337
Q13177 Q9H9S3
P17046 P48047
P63261 P30260
P37231 Q8CHZ9
Q8IWE2 Q9Y3B4
O00411 O75376
Q9UI14 Q8NFT6
Q9QXU9 O75688
P06730 P58281
Q9NXE8 Q92930
Q9NRL3 Q9BWJ5
Q9NP79 P27144
P23921 Q9DCS9
Q9QXU9 P51553
Q7KZF4 O75489
O35526 O14802
P04040 Q9UQN3
Q8CJF9 Q9Y5L4
Q9UHD8 Q8WYQ5
Q99697 Q9Y5P4
Q99426 Q7KZ85
O43684 Q4QRB4
P61014 P33176
Q9UKV5 Q00403
P24311 Q8WX92
Q15042 O15160
P61962 Q9P035
P82675 Q01082
O00268 P22033
O75396 Q96I99
Q92932 Q9UDW1
O94906 Q9UDT6
Q9D0M3 Q3V6T2
Q99797 Q9H444
P29692 P12814
Q8NBN3 P28290
Q96G23 Q9UI26
Q9UIF8 Q96G23
P23381 Q9Y4W6
Q9H2K8 P49736
P47897 Q8N1F7
P61978 Q9UG56
P82675 P04075
Q9Y2I1 P27694
Q9NR28 P25789
Q96CA5 Q9D6J5
P35250 P05213
P11442 P52701
Q99797 Q9JJM9
Q9UKM9 Q01968
P62917 Q15637
Q9GZR1 Q5JTZ9
P12787 Q86TJ2
Q969N2 Q93045
Q791V5 P36871
P09622 Q99442
Q9NPQ8 P06899
P82650 O95352
Q8NBQ5 P22626
Q9HD33 Q14331
O15260 Q969S3
P31150 Q96AG4
P30084 P99024
P49790 Q96RT8
Q9HD20 Q16623
P30837 Q7KZF4
Q9H5V7 Q6P7A2
Q9H2G2 Q8IYH5
Q16594 Q5T9A4
Q9UBI4 Q96NC0
Q99797 Q68E01
Q9NP64 P28331
P22303 Q8WWM9
P04075 Q8IYB9
Q9CPU4 Q8WYQ5
Q9Y3D8 P04179
Q9UHD9 P30533
Q14683 Q9UL18
P04925 O75934
Q96I99 Q15631
A2CG49 P17302
P12787 P11142
P03911 P04156
A8MXV4 Q92542
Q8WWM9 Q9UK59
Q5T200 O75688
Q8TEU7 Q61214
Q8IY33 Q9P2W9
P27448 Q9QXX4
Q9HCC0 O75934
Q9UKV5 Q8N7H5
Q05048 Q9HAU5
O94905 Q61081
Q16576 Q9QXS6
Q9HAT1 P17677
Q8NBN3 P60766
Q9UL18 Q16891
Q96I99 Q9WV92
P70362 Q5T653
O60488 P61970
Q8N183 Q12840
Q8TCT9 O00291
Q9BSJ2 O43464
O95751 Q13191
Q8WXA9 P61981
Q13427 P14735
Q9Y2Z0 O15260
Q64378 P82663
P35704 P57740
O75694 Q5NDL2
P40692 Q9UIL1
Q7Z6M4 P26374
O00139 O95218
Q9CR68 Q62261
Q99697 P13804
P32322 P58004
Q9UKA4 P30536
Q02978 Q05048
O15269 Q14139
P46459 Q9DCS9
Q9H0U4 O95202
O14802 Q92930
B5ME19 Q01081
Q9Y3D6 Q9NXB0
Q9Y2T2 P19536
Q5T200 Q71RC2
P60881 Q9Y5M8
O75533 P49589
Q12907 O75436
Q6MZP7 Q9BT88
O75843 Q9Y305
P51863 Q15233
Q13595 P51693
P68368 P42285
P47985 A5A3E0
Q14919 O43464
P85108 O14647
Q9JIS5 P17844
Q9CQZ6 P53621
Q15393 Q5XIF6
Q15651 Q80TJ1
P22695 Q9UKV5
Q99700 Q969S9
Q9BYN8 P84079
Q7YU24 P49368
P13995 Q8WX92
Q61644 O43290
Q5BKZ1 Q9QXS6
Q562R1 O43172
P18085 Q9H444
O43347 P55809
P32121 P09951
P46821 Q9Y5L4
O15260 P13473
P25705 P85515
P30101 P21127
P17152 Q9UBD5
P20248 Q9D6J5
Q8VHJ5 Q9HC44
A8MXV4 P62082
P61006 Q9UQE7
P21266 Q99442
P51814 Q8NBS9
Q99551 O95817
Q9P0M9 Q5HY98
Q9Y484 P30536
Q9H3H9 Q5SRD1
P05109 P39019
O60333 O75477
A8MXV4 P68511
Q5VWG9 Q9UQN3
Q96P63 P56270
Q8K310 P68373
P58753 Q16576
O00170 Q53R41
Q92900 Q16850
Q9H334 Q96JJ3
P10126 O96008
P21107 Q9Y305
P56556 Q9NPI1
Q9Y484 Q9UIF8
P61019 Q9Y6A4
P35564 P61164
Q9NR28 Q9NP79
Q5VWZ2 Q9H845
P82094 Q7L0Y3
Q9HD33 P61164
O55143 Q86TI2
Q15751 Q9Y6X8
P36551 P42338
P13473 Q15005
O95400 P50454
O14874 Q8IYB5
P12787 Q92804
P18085 Q99551
O75396 Q9UQN3
P21266 Q12788
P34926 P51571
O75581 P19388
O14776 P35998
Q14257 Q9EP71
O75525 Q9H9S3
A5A3E0 P09669
P07741 Q9H1E3
P85515 Q9BSF4
Q13129 P82933
P49406 Q05639
P48729 P04925
Q92558 Q8N3C0
P0DPB3 P27824
Q15437 Q9BUJ2
P14873 P49448
O75396 P05091
Q99551 O15269
Q8IYB5 Q9UDW1
Q9Y3Y2 Q86Y56
Q9BUK6 P35249
O95140 P27546
B5ME19 Q9Y2Z4
Q9UJW0 Q6L8Q7
Q6KAS7 P00338
Q5SRE5 P58004
P08579 Q9D855
O60293 P82650
Q99797 Q9Y5T5
Q12756 Q7TMF3
O75525 P0DPB3
Q9GZL7 P78368
Q9H832 Q9H3N1
P51149 Q96HE7
O00159 Q99797
Q9CQZ5 O75179
Q6P2Q9 Q07157
Q86UP2 Q9UIL1
O43236 P30040
Q02410 P08559
Q9H7L9 Q06055
Q01581 O95847
Q8N5G2 Q14197
P99999 Q15628
Q8JZU2 Q8VHJ5
Q5XI73 Q14181
O96028 Q15005
P37377 Q12907
Q9NXS2 O75323
Q01968 Q9P0M9
P09951 Q8WXA9
Q9P2X0 Q8N5F7
Q5SYD0 Q9H1E5
Q9UN19 O75964
Q9HD33 Q9UMS4
Q9CR68 O94973
Q8CJG0 P63039
O43815 Q9H8Y8
P22033 Q9BQG0
O15269 Q9BVA1
Q9UHD8 Q96HE7
P00558 Q9D6J5
O15260 P62191
Q9H845 P17427
P36542 O35625
Q8N7H5 Q6ZMR3
Q15031 Q9NRL3
P78318 P30533
P50990 Q9NPI1
Q96ED9 Q9H3N1
Q12888 P17427
Q9UI09 P42224
Q03252 O95456
P08113 P10412
Q13310 O60293
O75323 Q9BUJ2
Q96JJ3 P20340
Q5T5P2 P78527
O75970 Q8N183
P61164 Q9P035
Q9D023 O60506
P04040 Q03164
P39069 Q8N2K1
P39748 P10637
Q9UL68 O00217
P31323 Q9BRJ7
Q99700 P83436
P68369 Q8IYB3
Q922F4 Q53R41
Q53GS9 P37108
Q96L91 P07384
P49327 Q13426
P09132 Q96T23
P42285 Q9HC35
Q96A33 Q15365
P05141 Q9UN19
Q9NZ42 Q5XI73
P83436 P19021
P04925 Q96CS3
Q14257 Q07021
P14136 Q63HQ0
Q5NDL2 Q9H7D7
A8MXV4 Q7TPV4
O14949 O15042
Q9D023 Q8VBT0
Q9Y2C2 O76094
O15269 Q13509
Q80YN3 Q9ERS2
Q9Y6D6 D3Z2R5
Q9D0M5 Q9Y5Q9
Q15386 P39053
Q9UPQ9 Q10713
Q06787 Q9Y2C2
Q53R41 Q9UDT6
O60238 Q53QZ3
Q9CPQ3 Q6NZ67
Q02978 Q7LBC6
P51571 P43034
P13995 P23284
P62857 Q6MZP7
Q8R5C5 Q16740
Q5XI73 Q96KN3
O60337 Q8IY81
Q13509 Q8TDD1
P22695 P23497
O75934 P63011
Q8NBQ5 O14980
Q6YN16 Q71U36
Q9D0M3 Q99598
Q13888 O09111
P68373 Q9Y3D6
P51398 Q15018
Q13813 P39748
P40938 Q9UBF2
Q96QK1 P25490
P21399 P09669
Q5VWG9 P47985
P54105 P82932
Q8IWX8 Q9UNN5
Q96I25 P42025
Q9UKV5 Q9UKX7
Q9UI14 Q6P4A7
P20340 Q5HY98
P25398 O60476
P61981 Q14257
Q04837 Q8TCT9
Q9BSJ2 Q96JP5
Q12996 Q9NYK5
O43920 Q9H0A0
Q3B8Q0 P23242
P51553 Q9Y5V0
P55795 Q9R1R2
P09951 P43243
P23284 Q9UMS4
P62241 O43172
P15121 P11177
Q9UKY1 O43491
P23528 Q9D6M3
P49448 Q9EQH3
Q8NEW0 P08237
Q9QXS6 O14802
Q91WD5 Q9NP72
P35279 Q9UI09
Q9Z270 Q562R1
Q9BYD1 Q9Y2W1
P51863 P51814
Q92841 O95573
P53007 Q86UE4
Q7L014 P55258
P33778 Q9BSJ2
P83436 P61803
P04843 P23193
Q6FI13 O75970
Q8N183 P36871
Q96GD0 O60264
P52701 P50851
P45880 Q96SB3
Q9Y2I1 Q8NI22
P49406 P18431
Q96N16 O96008
P08621 Q15084
Q6YN16 Q9WV92
Q5VWG9 P14735
Q99436 Q9NRW7
Q92930 Q7Z6M4
Q12955 Q8IYW5
P00390 Q9NXS2
P25490 Q13885
O95197 Q969Q0
P10588 P49448
P46063 P30048
Q8NI22 P62857
P36507 P29692
P42684 Q13029
P17046 P24311
Q9UL68 P04843
O00217 P62314
Q9H0A0 O15371
Q9BSJ8 P39054
Q96TA2 P19388
Q9Y3I1 Q6YN16
Q13885 O95202
P42126 P62979
Q9DCS9 P0CAP2
Q12904 Q9QYA2
Q8WXA9 P84085
Q14526 Q9BSJ8
Q7KZ85 P99999
P15205 Q7Z4V5
P83436 P63011
Q9D6J6 Q9UPQ0
P14136 P09103
Q15427 P34932
O15042 E9QAT4
P31629 Q53R41
Q9BY43 P00533
Q08945 Q969S9
Q8IV08 O95819
O95171 O14874
O00541 O14672
P17844 O14949
Q96I99 P35704
P82932 O94985
Q06481 Q7Z2W9
Q15369 Q01813
P46063 P05091
Q8NBF2 O14802
P51571 Q16594
Q6P9V9 O75937
P15337 Q9NZ42
Q9UQB8 O96008
P63168 Q9NYU2
Q969S9 Q8IZL8
P23242 Q9H936
Q96P70 Q8VEM8
O95400 P11177
P85515 P08574
Q9UKV8 P30837
P08240 P52907
Q15042 Q96I25
O00411 P19525
P17152 Q9NTX5
Q8IY81 P31324
Q14195 Q9UND3
Q6L8Q7 Q9UIL1
O75369 Q9D6M3
Q7Z7E8 O00116
Q96SW2 Q9HD33
Q811U4 P00533
Q13191 Q9NR28
P14211 Q96T88
O60341 P61803
Q15042 O00411
Q9BW92 P46097
P19404 Q9D0M5
Q8CAQ8 P29966
P10412 Q92558
P50990 Q9BVI4
P51116 P40692
O14654 Q00403
O43815 P01106
P26639 Q9CQJ8
Q15059 Q92552
P62140 Q16891
P03893 Q6P2Q9
P06454 P53007
Q91VR7 P15999
Q16670 P04899
P20029 Q03252
Q9DC70 P31948
O43823 P04181
Q9H0N0 P07237
Q9CQJ8 P62880
Q9CR61 P08113
O75934 Q7Z2W9
Q9D0M5 P60468
Q9BZE1 Q9BY11
Q9Y4E8 P30040
O95171 P49411
P04156 Q00839
Q6UX04 O75822
Q14919 Q8NF37
Q9Y2W1 Q9BQI5
Q8N2K1 Q96QK1
Q9H2M9 O15260
Q8IY81 Q9BY43
P51814 Q6YN16
Q9BUF5 P06899
P49841 Q791V5
O00483 P60953
Q99848 P47869
Q8N1F7 Q9QXS6
Q38SD2 Q9P035
Q8NBN3 P48735
Q7L014 Q8R418
Q5JTH9 P63041
Q08945 P30275
Q9P209 P39748
O60337 O00541
P08238 P00405
P35249 Q9EQH3
P61163 Q9Y3B4
Q86XE5 Q9NT62
P51553 Q6IAN0
Q53R41 P19338
Q01484 O75376
P61956 P60881
P05091 Q9NRW1
P49006 P35354
Q96CW1 Q9Y2Z4
Q14257 P14873
Q9Y5M8 O43516
P06454 Q92997
O55042 Q15392
Q9Y2A7 O75964
Q6KAS7 O75390
Q8IUF8 P26374
Q8N7H5 O35964
Q02978 Q14331
Q13951 Q5JRX3
Q96JM7 Q5JRX3
Q9H7L9 Q13637
O08848 Q9GZT3
P10412 P60763
P27816 Q6UN15
O00170 Q9NR28
P42679 Q92621
Q5H9L4 Q9BW91
Q15437 P25490
P54136 Q9UKM9
P23193 Q86YZ3
P08574 Q96SW2
O60337 P53396
Q9Y5K8 Q03701
Q9WU34 Q6NVY1
Q5JTZ9 Q2NL82
Q9D023 Q9HC62
P45954 A2AJI0
Q8NF37 P85845
O15042 P04899
Q96IZ7 Q9Y5L4
P38647 Q15813
O43488 Q9H5V7
Q14498 O76094
P07195 Q9NPI1
Q5PPJ9 Q791V5
P28652 Q7LBC6
Q8IWZ8 Q9UKA1
P10620 Q13153
Q8IX21 Q9HCC0
P55809 Q5XIF6
O00767 P82673
Q03252 Q61062
Q13387 Q9NYU2
P38117 P15121
Q8IX01 P20029
P12004 Q14651
Q9CQV8 Q58WW2
O00483 P07901
Q9NSE4 Q96L92
Q5BJF2 P82650
P30837 P61964
P31930 P78371
O43709 Q8NBQ5
Q9JJM9 Q9BVP2
O60308 Q8TCJ2
O75376 P52789
P21912 Q9NXB0
O14647 O00124
O00217 Q05512
Q8CAQ8 P63044
Q9Y2D9 Q9NY65
Q9Y291 P10275
A5YKK6 P98161
Q58A65 Q13888
Q99LY9 Q05048
Q9NXS2 Q3V3N7
P61981 Q13243
Q9BVA1 P21912
P10809 Q61301
Q9H8Y8 Q5C9Z4
Q8TAM6 Q14197
P37840 A8MXV4
Q15427 P84085
Q53GS9 P27448
Q9CPQ8 P61983
Q9HD26 Q04727
Q13835 Q9NP79
O00483 Q99KJ8
Q16795 Q9BVA1
Q9HAU5 P10412
Q86Y56 Q9P035
O60493 P43274
P52655 Q06055
O96019 P40616
P82933 P30876
P12532 P50851
Q9UI30 P49406
Q8WUA2 P82663
P50570 Q14526
Q7L0Y3 Q13148
P16989 Q9NZ42
Q969H8 Q9NSE4
Q8NBN3 Q29504
Q9BY32 Q9Y277
Q92575 Q9BT88
P25205 Q8QZZ8
Q9UKU7 Q15029
Q15532 O60229
P30876 O08848
Q7KZI7 Q9DCS9
P13797 Q5VWG9
Q9D855 P29067
P55084 Q96I25
Q9H5V7 P50570
O14672 P56480
P49736 Q9NXS2
Q14011 Q9D8B4
Q6YN16 P08865
Q8IXI2 Q12756
P60953 P42126
P62269 Q64522
Q99848 P61981
P48735 P61244
P18085 O00214
P12236 Q58FF6
O75843 O95789
O00124 Q9Y6C9
P02687 Q12874
O75970 Q09666
P68371 Q9BVI4
